epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.78374,5.96283,20.6657,4.36977,0,0,0,0,5.71024,25.0835,3.6262,0.00010003,0.00010003,0.00010003
2,16.7002,4.73525,10.5449,2.79369,0.12579,0.03509,0.03616,0.00882,3.48927,3.73094,1.36127,0.000210106,0.000210106,0.000210106
3,28.7581,3.32561,3.52634,1.33882,0.0958,0.4386,0.09532,0.03828,2.82864,2.76956,1.146,0.000315655,0.000315655,0.000315655
4,36.6953,2.96282,2.77466,1.20439,0.11689,0.49824,0.13283,0.04305,2.56508,2.22342,1.04757,0.000416676,0.000416676,0.000416676
5,44.947,2.82935,2.50324,1.16796,0.4773,0.51754,0.17157,0.04266,2.78025,2.14871,1.07051,0.000513171,0.000513171,0.000513171
6,52.522,2.55299,2.0727,1.04911,0.23094,0.67251,0.22181,0.05484,2.79343,2.27094,1.08123,0.000605139,0.000605139,0.000605139
7,59.7685,2.60795,2.03134,1.08274,0.15209,0.63743,0.1252,0.04165,2.6325,15.5784,1.04364,0.000692579,0.000692579,0.000692579
8,67.1153,2.58189,1.88991,1.09001,0.27242,0.68129,0.25632,0.07939,2.745,2.05324,1.09329,0.000775493,0.000775493,0.000775493
9,75.6048,2.36369,1.7223,1.02243,0.39791,0.72179,0.34937,0.12066,2.42172,2.03554,0.99351,0.000853879,0.000853879,0.000853879
10,83.1852,2.5561,1.78624,1.0685,0.24552,0.74041,0.24278,0.08438,2.54011,2.61507,1.04953,0.000927738,0.000927738,0.000927738
11,90.3695,2.47499,1.69453,1.06548,0.27752,0.66374,0.28763,0.09122,2.5073,1.88803,1.02093,0.00099707,0.00099707,0.00099707
12,97.5505,2.36884,1.71075,1.0189,0.37307,0.69992,0.41243,0.13348,2.53793,1.83644,1.02726,0.00106188,0.00106188,0.00106188
13,105.356,2.27821,1.66886,1.00035,0.40579,0.63793,0.386,0.16386,2.49068,1.71421,1.0061,0.00108947,0.00108947,0.00108947
14,113.39,2.22247,1.62771,1.00305,0.3916,0.65789,0.36871,0.1434,2.48822,1.72054,0.99883,0.00106118,0.00106118,0.00106118
15,120.991,2.27281,1.69002,1.01164,0.22493,0.64544,0.21589,0.07542,2.57913,2.51275,1.00762,0.00103288,0.00103288,0.00103288
16,128.337,2.37325,1.61997,0.99209,0.15602,0.65991,0.15734,0.05988,2.55211,5.34379,1.00379,0.00100459,0.00100459,0.00100459
17,135.52,2.16573,1.49788,1.02443,0.29589,0.7924,0.27871,0.10805,2.50338,1.99957,0.99048,0.000976293,0.000976293,0.000976293
18,142.933,2.20866,1.51746,1.03899,0.47456,0.70175,0.4155,0.12869,2.56446,1.65749,0.99665,0.000947999,0.000947999,0.000947999
19,150.374,2.15299,1.49968,0.98773,0.39609,0.68129,0.36304,0.11193,2.54214,1.63952,0.99339,0.000919704,0.000919704,0.000919704
