epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.76956,5.47067,19.5148,3.21811,0,0,0,0,6.07426,23.6431,3.62962,0.00010003,0.00010003,0.00010003
2,21.7073,4.46391,10.0996,2.3051,0.48855,0.03509,0.04046,0.01008,3.88228,5.04877,1.569,0.000210106,0.000210106,0.000210106
3,31.3026,3.18921,3.58833,1.34055,0.15431,0.50954,0.11477,0.03826,2.89372,3.11761,1.19474,0.000315655,0.000315655,0.000315655
4,42.749,2.91175,2.78647,1.17572,0.5233,0.4386,0.16024,0.04839,2.69787,2.44564,1.09879,0.000416676,0.000416676,0.000416676
5,52.4463,2.8156,2.42039,1.18282,0.49164,0.44737,0.14403,0.0314,2.92021,2.18464,1.11415,0.000513171,0.000513171,0.000513171
6,60.5232,2.54774,2.08415,1.04831,0.53918,0.49123,0.24287,0.07702,2.70271,2.37764,1.07981,0.000605139,0.000605139,0.000605139
7,71.5184,2.57212,2.04488,1.08011,0.15398,0.54386,0.25751,0.0866,2.68869,1.94683,1.04601,0.000692579,0.000692579,0.000692579
8,84.448,2.56592,1.90509,1.09044,0.18594,0.54721,0.22823,0.07331,2.7717,1.82496,1.05001,0.000775493,0.000775493,0.000775493
9,92.3291,2.43388,1.77642,1.03818,0.54956,0.54066,0.24892,0.07423,2.59879,1.89214,1.01432,0.000853879,0.000853879,0.000853879
10,100.574,2.48206,1.79707,1.04925,0.35433,0.55047,0.25079,0.07542,2.72522,1.95695,1.04527,0.000927738,0.000927738,0.000927738
11,112.564,2.28065,1.65846,1.03237,0.47612,0.5,0.25286,0.08451,2.76454,1.92882,1.05055,0.00099707,0.00099707,0.00099707
12,120.608,2.29819,1.71731,1.00606,0.49267,0.50877,0.23469,0.07465,2.73832,1.85749,1.05943,0.00106188,0.00106188,0.00106188
13,128.466,2.2563,1.66045,0.99714,0.34076,0.64383,0.36438,0.1134,2.6647,1.68974,1.03812,0.00108947,0.00108947,0.00108947
14,138.99,2.21715,1.59078,1.00489,0.47399,0.62865,0.36818,0.13667,2.69094,1.66557,1.03229,0.00106118,0.00106118,0.00106118
15,147.978,2.24491,1.64612,1.01296,0.38811,0.62865,0.34352,0.08882,2.74838,1.8089,1.03267,0.00103288,0.00103288,0.00103288
16,156.118,2.31765,1.57491,0.98857,0.33241,0.65497,0.28668,0.08306,2.68443,1.84051,1.02578,0.00100459,0.00100459,0.00100459
