epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1072,2.12892,2.80637,1.73192,0.44242,0.17452,0.07832,0.03063,2.70015,3.45134,2.51181,0.000412371,0.000412371,0.000412371
2,171.783,2.03908,2.36853,1.68879,0.24255,0.25326,0.12338,0.04473,2.21854,3.67305,2.08603,0.00082083,0.00082083,0.00082083
3,256.437,2.04828,2.34908,1.70793,0.39253,0.11732,0.07313,0.02759,2.46428,5.28195,2.1445,0.00122104,0.00122104,0.00122104
4,334.987,2.0116,2.26407,1.72418,0.23119,0.27745,0.22337,0.10573,2.08945,2.61654,1.85895,0.00121287,0.00121287,0.00121287
5,414.019,1.95791,2.17558,1.64479,0.18922,0.16136,0.09546,0.0365,2.58437,3.01901,2.15186,0.0012005,0.0012005,0.0012005
6,493.086,1.94369,2.10932,1.63681,0.36604,0.26597,0.22104,0.08807,2.15698,2.25792,1.85838,0.00118812,0.00118812,0.00118812
7,571.467,1.8994,1.998,1.63116,0.61777,0.31726,0.34322,0.17935,1.89381,2.0185,1.77605,0.00117575,0.00117575,0.00117575
8,654.824,1.88324,1.92083,1.61895,0.42107,0.3498,0.33918,0.17247,1.88246,2.05009,1.73166,0.00116337,0.00116337,0.00116337
9,733.892,1.80912,1.82936,1.57801,0.69514,0.25601,0.34552,0.18571,1.82987,1.93147,1.6692,0.001151,0.001151,0.001151
10,812.602,1.76146,1.7784,1.55411,0.43436,0.32641,0.36394,0.18312,1.93434,1.96294,1.76632,0.00113863,0.00113863,0.00113863
11,891.61,1.76179,1.73446,1.54092,0.45641,0.37305,0.38135,0.19999,1.85217,1.92943,1.72825,0.00112625,0.00112625,0.00112625
12,976.242,1.73393,1.70149,1.53558,0.55822,0.32716,0.41068,0.2259,1.75767,1.84099,1.65391,0.00111388,0.00111388,0.00111388
13,1054.96,1.71041,1.68348,1.52396,0.49779,0.42096,0.4382,0.25332,1.73625,1.70973,1.6372,0.0011015,0.0011015,0.0011015
14,1135.19,1.69078,1.61974,1.52421,0.5537,0.39357,0.45888,0.25737,1.75544,1.68877,1.66198,0.00108913,0.00108913,0.00108913
15,1218.22,1.69729,1.63024,1.52597,0.58344,0.36002,0.43378,0.23595,1.8167,1.73541,1.71412,0.00107675,0.00107675,0.00107675
16,1296.41,1.66727,1.56772,1.51927,0.58485,0.43421,0.48127,0.27101,1.70792,1.60305,1.63699,0.00106437,0.00106437,0.00106437
17,1377.8,1.61367,1.52334,1.48908,0.525,0.47205,0.4901,0.28464,1.72462,1.5648,1.68526,0.001052,0.001052,0.001052
18,1461.82,1.63815,1.51425,1.50101,0.58176,0.47505,0.49752,0.28784,1.6852,1.56266,1.63516,0.00103962,0.00103962,0.00103962
19,1545.83,1.62097,1.49993,1.48023,0.59796,0.46108,0.50772,0.28536,1.73926,1.56201,1.71507,0.00102725,0.00102725,0.00102725
20,1624.33,1.58949,1.44636,1.47286,0.64398,0.42135,0.51482,0.3058,1.65301,1.49193,1.62881,0.00101488,0.00101488,0.00101488
21,1707.59,1.59181,1.45567,1.47052,0.54398,0.50903,0.55047,0.30494,1.71372,1.48925,1.63661,0.0010025,0.0010025,0.0010025
22,1786.26,1.54471,1.41074,1.45383,0.52074,0.50101,0.53696,0.31162,1.61054,1.48163,1.61624,0.000990125,0.000990125,0.000990125
23,1869.38,1.5127,1.34662,1.43028,0.63895,0.48203,0.54367,0.31932,1.65583,1.52085,1.62972,0.00097775,0.00097775,0.00097775
24,1953.29,1.52287,1.38885,1.44441,0.60631,0.47316,0.52229,0.29843,1.71999,1.4688,1.65343,0.000965375,0.000965375,0.000965375
25,2032.19,1.49517,1.31405,1.4217,0.58263,0.50506,0.5494,0.32106,1.62146,1.39182,1.62191,0.000953,0.000953,0.000953
26,2111.25,1.49774,1.3185,1.42788,0.68916,0.43688,0.50216,0.30128,1.66637,1.62696,1.62786,0.000940625,0.000940625,0.000940625
27,2189.23,1.48956,1.3157,1.43792,0.56266,0.53668,0.56767,0.32699,1.64939,1.41383,1.66223,0.00092825,0.00092825,0.00092825
28,2267.81,1.45905,1.28119,1.40526,0.61763,0.51429,0.57897,0.34343,1.59494,1.37537,1.59678,0.000915875,0.000915875,0.000915875
29,2350.84,1.45546,1.25677,1.3989,0.58416,0.47794,0.53035,0.32735,1.62585,1.45081,1.61476,0.0009035,0.0009035,0.0009035
30,2429.03,1.45173,1.27778,1.40744,0.6485,0.53556,0.60796,0.36193,1.5782,1.33465,1.59058,0.000891125,0.000891125,0.000891125
31,2510.72,1.45494,1.26702,1.39462,0.64984,0.52382,0.59606,0.36006,1.56497,1.34147,1.58025,0.00087875,0.00087875,0.00087875
32,2588.88,1.4162,1.23073,1.37764,0.64694,0.48281,0.564,0.35071,1.56695,1.43071,1.60682,0.000866375,0.000866375,0.000866375
33,2667.44,1.41899,1.22759,1.39108,0.55783,0.53065,0.58448,0.35255,1.56689,1.33285,1.58956,0.000854,0.000854,0.000854
34,2745.72,1.39597,1.1956,1.37382,0.72234,0.46943,0.58973,0.3564,1.57307,1.36016,1.60646,0.000841625,0.000841625,0.000841625
35,2823.75,1.36198,1.15817,1.35342,0.6861,0.51854,0.58703,0.35463,1.63177,1.40478,1.64742,0.00082925,0.00082925,0.00082925
36,2901.77,1.36217,1.15654,1.36627,0.61672,0.54621,0.61103,0.37128,1.52646,1.29994,1.56804,0.000816875,0.000816875,0.000816875
37,2980.7,1.35725,1.15871,1.34305,0.65866,0.50879,0.58556,0.35943,1.54948,1.31212,1.60587,0.0008045,0.0008045,0.0008045
38,3058.46,1.34774,1.13365,1.35126,0.69288,0.51913,0.613,0.37269,1.52424,1.28095,1.57954,0.000792125,0.000792125,0.000792125
39,3141.15,1.3552,1.12938,1.35776,0.70132,0.56641,0.62313,0.37569,1.51516,1.30888,1.56304,0.00077975,0.00077975,0.00077975
40,3225.16,1.33334,1.08922,1.33514,0.67057,0.55266,0.6246,0.37935,1.55286,1.24879,1.59679,0.000767375,0.000767375,0.000767375
41,3309.3,1.30332,1.0763,1.32135,0.72204,0.55036,0.65362,0.39492,1.52496,1.25268,1.57747,0.000755,0.000755,0.000755
42,3393.71,1.29748,1.07769,1.32397,0.73724,0.51804,0.64242,0.40043,1.49903,1.24514,1.56881,0.000742625,0.000742625,0.000742625
43,3477.78,1.27222,1.04544,1.30849,0.64972,0.59069,0.63206,0.38542,1.49784,1.24174,1.5641,0.00073025,0.00073025,0.00073025
44,3555.62,1.28854,1.04497,1.31425,0.66299,0.51048,0.61386,0.38166,1.50606,1.27855,1.57633,0.000717875,0.000717875,0.000717875
45,3638.9,1.28629,1.04678,1.31675,0.61258,0.56912,0.62065,0.37694,1.55951,1.28201,1.61638,0.0007055,0.0007055,0.0007055
46,3716.84,1.25645,1.02672,1.29625,0.67889,0.56928,0.64101,0.39757,1.46558,1.23185,1.55096,0.000693125,0.000693125,0.000693125
47,3794.89,1.25389,0.99519,1.29035,0.71762,0.51326,0.61073,0.37084,1.54701,1.2717,1.59663,0.00068075,0.00068075,0.00068075
48,3878.02,1.22694,0.99059,1.27425,0.69651,0.56696,0.63478,0.38558,1.48735,1.26886,1.60206,0.000668375,0.000668375,0.000668375
49,3961.63,1.24384,0.99599,1.29421,0.62191,0.58501,0.62573,0.38453,1.52771,1.25568,1.61083,0.000656,0.000656,0.000656
50,4039.66,1.23971,0.99962,1.28419,0.65571,0.58944,0.64516,0.39067,1.49963,1.20686,1.58934,0.000643625,0.000643625,0.000643625
