epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2148,2.70667,4.01988,1.29261,0.50639,0.0875,0.01254,0.00404,1.93287,32.7295,0.99626,0.000413851,0.000413851,0.000413851
2,103.872,2.4718,2.59519,1.18961,0.53519,0.12292,0.02896,0.0175,1.85975,27.0659,0.97545,0.000822296,0.000822296,0.000822296
3,151.985,2.4029,2.24072,1.17734,0.54466,0.15208,0.04724,0.01924,1.86795,61.1744,0.97715,0.00122249,0.00122249,0.00122249
4,198.636,2.37569,2.04433,1.15736,0.54757,0.10238,0.03741,0.01659,1.84381,68.3049,0.99639,0.00121287,0.00121287,0.00121287
5,245.55,2.34499,1.94276,1.15754,0.54142,0.17917,0.03019,0.01259,1.90236,54.2889,0.99819,0.0012005,0.0012005,0.0012005
6,294.635,2.30459,1.86849,1.14016,0.5236,0.27083,0.02613,0.01351,2.02607,24.7996,1.05855,0.00118812,0.00118812,0.00118812
7,343.913,2.29314,1.78883,1.14034,0.53052,0.275,0.0307,0.0139,1.84933,45.7998,0.99694,0.00117575,0.00117575,0.00117575
8,392.299,2.27361,1.78046,1.13662,0.7205,0.12917,0.05124,0.02774,1.90139,54.4241,1.01801,0.00116337,0.00116337,0.00116337
9,439.597,2.25873,1.7326,1.13688,0.03932,0.34583,0.02886,0.01294,1.81645,51.2662,0.98001,0.001151,0.001151,0.001151
10,488.636,2.25147,1.7189,1.12605,0.53406,0.13958,0.04119,0.01436,2.12238,52.2407,1.06665,0.00113863,0.00113863,0.00113863
11,535.473,2.2121,1.666,1.11661,0.55201,0.15625,0.07264,0.04398,1.93393,63.5963,0.98626,0.00112625,0.00112625,0.00112625
12,581.826,2.21582,1.65455,1.11319,0.30988,0.37708,0.05561,0.02719,1.92037,52.4814,1.02852,0.00111388,0.00111388,0.00111388
13,632.138,2.2175,1.65379,1.11817,0.29309,0.38958,0.04326,0.02239,1.80793,61.3227,0.97854,0.0011015,0.0011015,0.0011015
14,680.926,2.19703,1.60886,1.10537,0.55027,0.09792,0.04891,0.0303,1.83931,50.3899,0.99952,0.00108913,0.00108913,0.00108913
15,729.485,2.18183,1.61426,1.10111,0.28708,0.25417,0.03715,0.01877,1.91056,54.7277,1.01895,0.00107675,0.00107675,0.00107675
16,778.854,2.15771,1.56337,1.09988,0.5396,0.14167,0.03301,0.0181,1.73589,52.0887,0.97409,0.00106437,0.00106437,0.00106437
17,826.421,2.15485,1.55354,1.10478,0.56295,0.15,0.07367,0.04923,1.70805,41.4422,0.94808,0.001052,0.001052,0.001052
18,874.787,2.15728,1.5393,1.102,0.03524,0.375,0.02962,0.01543,1.73568,57.0738,0.97525,0.00103962,0.00103962,0.00103962
19,924.123,2.13842,1.52934,1.08968,0.58159,0.14167,0.07166,0.03853,1.81348,42.9175,0.9823,0.00102725,0.00102725,0.00102725
20,972.205,2.12674,1.49504,1.09596,0.30824,0.38206,0.04466,0.02193,1.87877,46.2209,1.01905,0.00101488,0.00101488,0.00101488
21,1020.2,2.12819,1.50267,1.08565,0.54412,0.15833,0.06791,0.04379,1.84226,58.7581,0.9822,0.0010025,0.0010025,0.0010025
22,1068.52,2.11178,1.48338,1.0781,0.28667,0.38125,0.04,0.01929,1.73211,61.6726,0.95675,0.000990125,0.000990125,0.000990125
23,1117.75,2.08973,1.46845,1.07921,0.28252,0.21014,0.03899,0.02523,1.68707,69.5814,0.94294,0.00097775,0.00097775,0.00097775
24,1165.5,2.09538,1.44343,1.08414,0.28643,0.15208,0.04159,0.02357,1.7546,50.3635,0.96925,0.000965375,0.000965375,0.000965375
25,1213.26,2.09456,1.45623,1.07836,0.3357,0.18872,0.04764,0.02621,1.77308,49.0216,0.98315,0.000953,0.000953,0.000953
26,1262.79,2.04916,1.39834,1.06812,0.28377,0.2,0.03737,0.02152,1.74073,51.7438,0.9675,0.000940625,0.000940625,0.000940625
