epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.4338,2.07987,2.8436,1.80568,0.00623,0.27595,0.00456,0.00205,nan,nan,nan,0.000412371,0.000412371,0.000412371
2,181.837,2.02409,2.29946,1.82696,0,0,0,0,2.16657,inf,2.17001,0.00082083,0.00082083,0.00082083
3,274.697,2.00576,2.21207,1.83892,0.5502,0.2553,0.19611,0.09821,2.1059,2.92021,2.16465,0.00122104,0.00122104,0.00122104
4,366.34,1.99174,2.13419,1.85936,0.44567,0.2795,0.26865,0.13433,2.12046,2.29375,2.14023,0.00121287,0.00121287,0.00121287
5,454.449,1.92187,2.03912,1.78506,0.5025,0.25409,0.24199,0.1183,1.96819,2.39051,2.01368,0.0012005,0.0012005,0.0012005
6,542.903,1.90033,1.92985,1.76,0.64089,0.28063,0.34952,0.18547,1.85961,1.98808,1.93648,0.00118812,0.00118812,0.00118812
7,632.434,1.83888,1.83092,1.72215,0.40187,0.35973,0.39149,0.20979,1.87122,1.82637,1.94171,0.00117575,0.00117575,0.00117575
8,724.041,1.81587,1.78132,1.71759,0.51051,0.38973,0.40834,0.22317,1.81521,1.96226,1.89174,0.00116337,0.00116337,0.00116337
9,817.156,1.74138,1.67991,1.67095,0.50141,0.38361,0.42851,0.24034,1.79995,1.6801,1.8649,0.001151,0.001151,0.001151
10,910.234,1.72094,1.63523,1.65669,0.51788,0.40817,0.43173,0.23936,1.80361,1.71196,1.87716,0.00113863,0.00113863,0.00113863
11,1002.11,1.69334,1.59114,1.61734,0.60302,0.36913,0.46265,0.26326,1.72458,1.59871,1.8153,0.00112625,0.00112625,0.00112625
12,1094.48,1.65702,1.54302,1.60446,0.47253,0.44578,0.45791,0.26827,1.69628,1.63186,1.80578,0.00111388,0.00111388,0.00111388
13,1186.85,1.64857,1.56519,1.6013,0.51831,0.40905,0.46022,0.27131,1.69214,1.61853,1.81226,0.0011015,0.0011015,0.0011015
14,1279.23,1.61344,1.48358,1.5948,0.48866,0.47474,0.48396,0.29025,1.64968,1.5082,1.78279,0.00108913,0.00108913,0.00108913
15,1373.1,1.6095,1.48997,1.58432,0.58703,0.44792,0.49503,0.28501,1.71725,1.53799,1.80624,0.00107675,0.00107675,0.00107675
16,1465.99,1.587,1.4316,1.57224,0.58133,0.47621,0.50971,0.29804,1.64213,1.49431,1.77154,0.00106437,0.00106437,0.00106437
17,1558.23,1.52821,1.38913,1.53235,0.63334,0.48616,0.52931,0.30289,1.70369,1.46069,1.77961,0.001052,0.001052,0.001052
18,1654.77,1.55265,1.3744,1.53315,0.60406,0.45774,0.50569,0.30931,1.62209,1.54009,1.75051,0.00103962,0.00103962,0.00103962
19,1754.28,1.52936,1.35815,1.51099,0.55571,0.52293,0.53978,0.32233,1.61386,1.43596,1.7512,0.00102725,0.00102725,0.00102725
20,1848.49,1.49162,1.30418,1.51571,0.604,0.50631,0.53868,0.32455,1.60754,1.43489,1.73913,0.00101488,0.00101488,0.00101488
21,1940.47,1.49221,1.29496,1.49932,0.55996,0.54322,0.60105,0.35578,1.56347,1.34096,1.71576,0.0010025,0.0010025,0.0010025
22,2040.32,1.45307,1.24117,1.47431,0.61491,0.49592,0.56759,0.32583,1.61973,1.40643,1.75536,0.000990125,0.000990125,0.000990125
23,2134.15,1.44059,1.21293,1.46265,0.66172,0.49385,0.58262,0.34857,1.52737,1.34576,1.67755,0.00097775,0.00097775,0.00097775
24,2224.16,1.42748,1.21907,1.46752,0.61472,0.47611,0.56186,0.33507,1.57095,1.38627,1.70786,0.000965375,0.000965375,0.000965375
25,2314.22,1.39177,1.16947,1.44097,0.60932,0.52261,0.59033,0.35711,1.53492,1.29429,1.71486,0.000953,0.000953,0.000953
26,2418.76,1.38439,1.14856,1.43464,0.70147,0.48161,0.5763,0.35685,1.55361,1.33872,1.70458,0.000940625,0.000940625,0.000940625
27,2510.86,1.37777,1.15756,1.44283,0.60763,0.54336,0.60671,0.36895,1.51701,1.29214,1.69389,0.00092825,0.00092825,0.00092825
28,2604.67,1.35961,1.11686,1.4219,0.64327,0.52177,0.59636,0.37153,1.54498,1.3801,1.70219,0.000915875,0.000915875,0.000915875
29,2701.87,1.33781,1.1109,1.39899,0.67082,0.52335,0.59902,0.37392,1.47728,1.31488,1.65254,0.0009035,0.0009035,0.0009035
30,2800.64,1.3451,1.10994,1.41637,0.74287,0.50858,0.61776,0.38757,1.486,1.27329,1.64526,0.000891125,0.000891125,0.000891125
31,2892.86,1.33854,1.10623,1.40431,0.68486,0.54333,0.62093,0.37954,1.51968,1.25224,1.69634,0.00087875,0.00087875,0.00087875
32,2984.16,1.30764,1.05509,1.38177,0.65894,0.60102,0.64126,0.38721,1.49487,1.22149,1.67534,0.000866375,0.000866375,0.000866375
33,3086.51,1.28952,1.04275,1.38865,0.68572,0.52278,0.61411,0.37727,1.51616,1.29185,1.69183,0.000854,0.000854,0.000854
34,3177.27,1.276,1.00776,1.36694,0.75032,0.524,0.62664,0.38231,1.51772,1.28855,1.70372,0.000841625,0.000841625,0.000841625
35,3272.04,1.2437,0.98895,1.35282,0.67452,0.55575,0.62125,0.38161,1.50333,1.28218,1.71674,0.00082925,0.00082925,0.00082925
36,3359.26,1.24421,0.97703,1.35829,0.63155,0.55787,0.61571,0.38209,1.51018,1.22048,1.68866,0.000816875,0.000816875,0.000816875
37,3446.74,1.24789,0.97329,1.3343,0.73886,0.54489,0.64464,0.39802,1.48536,1.23348,1.66588,0.0008045,0.0008045,0.0008045
38,3538.1,1.20536,0.94387,1.32654,0.65689,0.58946,0.63743,0.39537,1.48896,1.19736,1.68387,0.000792125,0.000792125,0.000792125
39,3627.25,1.21776,0.94452,1.34098,0.67341,0.57704,0.64652,0.39364,1.47504,1.22713,1.66366,0.00077975,0.00077975,0.00077975
40,3717.35,1.20645,0.91097,1.31128,0.74146,0.56251,0.64988,0.3949,1.45308,1.16001,1.65941,0.000767375,0.000767375,0.000767375
41,3807.24,1.16888,0.90353,1.30616,0.6731,0.58143,0.64353,0.40333,1.46224,1.1807,1.66941,0.000755,0.000755,0.000755
42,3898.6,1.15808,0.88863,1.30197,0.72632,0.54647,0.64412,0.40731,1.47641,1.25548,1.66707,0.000742625,0.000742625,0.000742625
43,3990.62,1.14801,0.86402,1.29318,0.68548,0.56072,0.63185,0.3952,1.4956,1.22488,1.73535,0.00073025,0.00073025,0.00073025
44,4077.4,1.13317,0.85052,1.28433,0.65866,0.58747,0.63952,0.39222,1.48326,1.2269,1.7251,0.000717875,0.000717875,0.000717875
45,4167.73,1.14321,0.86397,1.28682,0.7352,0.5647,0.66033,0.40415,1.48279,1.16004,1.70851,0.0007055,0.0007055,0.0007055
46,4257.94,1.12058,0.83308,1.26788,0.73915,0.55517,0.64957,0.41088,1.46185,1.19097,1.69036,0.000693125,0.000693125,0.000693125
47,4354.37,1.10753,0.81281,1.25929,0.74724,0.54241,0.64431,0.40522,1.45734,1.27381,1.69663,0.00068075,0.00068075,0.00068075
48,4444.92,1.08064,0.80057,1.23632,0.70134,0.55902,0.63614,0.39863,1.47015,1.23173,1.69932,0.000668375,0.000668375,0.000668375
49,4540.72,1.09112,0.80254,1.25254,0.75814,0.57136,0.66424,0.41504,1.44535,1.18097,1.69816,0.000656,0.000656,0.000656
50,4639.56,1.08107,0.79787,1.24316,0.68314,0.5787,0.65286,0.40476,1.45673,1.195,1.70052,0.000643625,0.000643625,0.000643625
51,4734.1,1.06924,0.77611,1.23317,0.62673,0.58434,0.63596,0.40398,1.45819,1.23303,1.7096,0.00063125,0.00063125,0.00063125
52,4826.92,1.04825,0.76181,1.22506,0.73337,0.54568,0.64352,0.40279,1.44483,1.14246,1.7097,0.000618875,0.000618875,0.000618875
53,4947.27,1.06061,0.7736,1.22673,0.71448,0.59439,0.65834,0.40805,1.42701,1.102,1.68742,0.0006065,0.0006065,0.0006065
54,5038.46,1.01059,0.7273,1.20366,0.70258,0.57112,0.65051,0.41356,1.42968,1.25694,1.68531,0.000594125,0.000594125,0.000594125
55,5129.19,1.00833,0.72775,1.20481,0.72099,0.58396,0.66514,0.42747,1.41193,1.11916,1.70389,0.00058175,0.00058175,0.00058175
56,5229.02,0.99483,0.69793,1.1841,0.69668,0.61778,0.68235,0.43343,1.42096,1.09289,1.70379,0.000569375,0.000569375,0.000569375
57,5327.85,0.98694,0.69505,1.19761,0.74689,0.59609,0.67808,0.42687,1.42886,1.15035,1.70674,0.000557,0.000557,0.000557
58,5421.67,0.98341,0.70029,1.18324,0.69845,0.59408,0.66948,0.42264,1.44709,1.17032,1.71461,0.000544625,0.000544625,0.000544625
59,5515.7,0.97206,0.67329,1.17716,0.65431,0.63147,0.68121,0.42843,1.4039,1.13239,1.70227,0.00053225,0.00053225,0.00053225
60,5608,0.93701,0.65235,1.16094,0.7098,0.61221,0.67336,0.435,1.41472,1.16651,1.7156,0.000519875,0.000519875,0.000519875
61,5706.38,0.9484,0.65638,1.17031,0.71356,0.58797,0.65667,0.41975,1.41687,1.21035,1.71515,0.0005075,0.0005075,0.0005075
62,5798.53,0.93135,0.65397,1.15328,0.72131,0.58087,0.66316,0.42595,1.40978,1.18069,1.71889,0.000495125,0.000495125,0.000495125
63,5892.78,0.92939,0.64761,1.15756,0.71097,0.603,0.66242,0.42979,1.42163,1.1888,1.73327,0.00048275,0.00048275,0.00048275
64,5987.06,0.90578,0.63028,1.13562,0.71556,0.61157,0.68256,0.43866,1.41117,1.16725,1.72651,0.000470375,0.000470375,0.000470375
65,6087.43,0.89433,0.61788,1.12306,0.77818,0.57877,0.6729,0.43135,1.40008,1.17451,1.70391,0.000458,0.000458,0.000458
66,6177.61,0.8923,0.61213,1.12869,0.77936,0.56825,0.67989,0.43414,1.37781,1.18185,1.7033,0.000445625,0.000445625,0.000445625
67,6267.53,0.91462,0.62801,1.1356,0.78392,0.59019,0.68243,0.43821,1.39192,1.1533,1.70469,0.00043325,0.00043325,0.00043325
68,6357.58,0.88305,0.60401,1.12067,0.78209,0.58625,0.6933,0.44686,1.39178,1.16784,1.73643,0.000420875,0.000420875,0.000420875
69,6447.86,0.85444,0.58376,1.11296,0.78634,0.56951,0.69256,0.44436,1.38354,1.14019,1.71505,0.0004085,0.0004085,0.0004085
70,6537.8,0.86352,0.57967,1.10413,0.74644,0.57528,0.66411,0.43565,1.37569,1.23133,1.71893,0.000396125,0.000396125,0.000396125
71,6628.65,0.83214,0.57046,1.10632,0.7158,0.58972,0.67638,0.43601,1.39326,1.15986,1.73421,0.00038375,0.00038375,0.00038375
72,6718.08,0.84357,0.56988,1.11062,0.7886,0.58227,0.68957,0.44942,1.37545,1.16223,1.73346,0.000371375,0.000371375,0.000371375
73,6806.42,0.83605,0.56161,1.09846,0.72911,0.62153,0.69162,0.45334,1.36775,1.1352,1.70458,0.000359,0.000359,0.000359
74,6898.04,0.82898,0.56566,1.08963,0.8276,0.55775,0.68783,0.44775,1.38816,1.18779,1.74072,0.000346625,0.000346625,0.000346625
75,6986.53,0.81498,0.53936,1.07941,0.74804,0.59623,0.68977,0.45456,1.3592,1.19489,1.72347,0.00033425,0.00033425,0.00033425
76,7078.07,0.80575,0.54156,1.08384,0.74946,0.59126,0.6825,0.44742,1.36146,1.16463,1.73664,0.000321875,0.000321875,0.000321875
77,7166.68,0.78106,0.52025,1.0609,0.75342,0.60052,0.68738,0.4436,1.37491,1.17177,1.74913,0.0003095,0.0003095,0.0003095
78,7256.87,0.78494,0.52534,1.06704,0.73646,0.62174,0.69252,0.45193,1.38036,1.19432,1.77025,0.000297125,0.000297125,0.000297125
